event,home,away,campaign
8313,OH549,OH549,2017Week50Wrestling
12532,CO16389,CO68950,2017Week50Girls Basketball
9332,WI19472,WI19471,2017Week50Basketball
8317,OH549,OH1899,2017Week50Basketball
9331,WI19472,WI19409,2017Week50Basketball
17683,WI50307,no opponent ID given,2017Week50Basketball
8315,OH549,OH2250,2017Week50Basketball
8318,OH549,OH1408,2017Week50Basketball
15787,GA5350,GA4967,2017Week50Basketball
8316,OH549,OH1899,2017Week50Baseball
8314,OH549,OH2250,2017Week50Basketball
8319,OH549,OH1408,2017Week50Basketball
13545,SC13641,SC67010,2017Week50Basketball
9467,VA24906,VA25529,2017Week50Basketball
16184,GA5350,GA5259,2017Week50Basketball
9468,VA24906,VA24940,2017Week50Basketball
9552,VA24906,VA24940,2017Week50Basketball
13219,NC1162,NC1303,2017Week50Basketball
9150,WI19472,WI13634,2017Week50Basketball
8664,VA7836,VA7832,2017Week50Basketball
10785,OK21106,OK21140,2017Week50Basketball
10783,OK21106,OK25063,2017Week50Basketball
10784,OK21106,OK21132,2017Week50Basketball
10795,OK21106,OK21016,2017Week50Basketball
13218,NC1162,NC52020,2017Week50Basketball
9740,NC12317,no opponent ID given,2017Week50Choral Arts
13220,NC1162,NC8259,2017Week50Basketball
10819,VA12896,VA12877,2017Week50Basketball
10820,VA12896,VA12873,2017Week50Basketball
10807,VA12896,VA13658,2017Week50Basketball
16204,GA4894,GA4967,2017Week50Basketball
10563,no home team id given,NC27324,2017Week50Basketball
15813,GA5355,GA5004,2017Week50Basketball
11809,PA6473,PA6524,2017Week50Basketball
15827,GA5355,GA4970,2017Week50Basketball
15830,AL430,no opponent ID given,2017Week50Registration 
19620,HI17624,no opponent ID given,2017Week50Wrestling
14988,FL13098,FL13092,2017Week50Basketball
16802,MS20008,MS14385,2017Week50Soccer
11810,no home team id given,PA6308,2017Week50Basketball
5202,GA5152,GA4841,2017Week50Basketball
13343,GA51112,GA6802,2017Week50Basketball
17121,CA19938,no opponent ID given,2017Week50Basketball
19178,SC3840,no opponent ID given,2017Week50Wrestling
14284,NC67497,no opponent ID given,2017Week50Basketball
