Event ID,Event Name,Tickets Sold,Date,Sport,Home Team State Association,Special Game?,Home Team Name,Opposing Team Name,App Link,Source,Medium,Campaign,Tagged Link
17343,Maplesville Red Devils vs Linden Patriots,6,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Maplesville High School,Linden High School,https://gofan.co/app/events/17343,AHSAA,Click,ALTIX,https://gofan.co/app/events/17343?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17338,Isabella Mustangs vs Millry Wildcats,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Isabella High School,Millry High School,https://gofan.co/app/events/17338,AHSAA,Click,ALTIX,https://gofan.co/app/events/17338?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17339,Wadley Bulldogs vs Pleasant Home Eagles,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Wadley High School,Pleasant Home High School,https://gofan.co/app/events/17339,AHSAA,Click,ALTIX,https://gofan.co/app/events/17339?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17341,Georgiana Panthers vs Winterboro Bulldogs,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Georgiana High School,Winterboro High School,https://gofan.co/app/events/17341,AHSAA,Click,ALTIX,https://gofan.co/app/events/17341?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17342,Talladega County Central Tigers vs Houston County Lions,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Talladega County Central High School,Houston County High School,https://gofan.co/app/events/17342,AHSAA,Click,ALTIX,https://gofan.co/app/events/17342?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17345,Sweet Water Bulldogs vs Notasulga Blue Devils,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Sweet Water High School,Notasulga High School,https://gofan.co/app/events/17345,AHSAA,Click,ALTIX,https://gofan.co/app/events/17345?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17348,South Stallions vs Decatur Heritage Christian Academy Eagles,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,South Lamar School,Decatur Heritage Christian Academy,https://gofan.co/app/events/17348,AHSAA,Click,ALTIX,https://gofan.co/app/events/17348?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17350,Cherokee Indians vs Coosa Conquerors,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Cherokee High School,Coosa Christian School,https://gofan.co/app/events/17350,AHSAA,Click,ALTIX,https://gofan.co/app/events/17350?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17351,Lynn Bears vs Holy Spirit Catholic Titans,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Lynn High School,Holy Spirit Catholic High School,https://gofan.co/app/events/17351,AHSAA,Click,ALTIX,https://gofan.co/app/events/17351?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17352,Spring Garden Panthers vs Phillips Bears,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Spring Garden High School,Phillips High School,https://gofan.co/app/events/17352,AHSAA,Click,ALTIX,https://gofan.co/app/events/17352?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17353,Pickens County Tornadoes vs Meek Tigers,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Pickens County High School,Meek High School,https://gofan.co/app/events/17353,AHSAA,Click,ALTIX,https://gofan.co/app/events/17353?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17344,Bulldogs vs Ragland Purple Devils,0,11/10/17,1A Football,AHSAA,AHSAA Playoffs - 1st Round,Brantley School,Ragland High School,https://gofan.co/app/events/17344,AHSAA,Click,ALTIX,https://gofan.co/app/events/17344?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
