EVENT ID,HOME,AWAY,CAMPAIGN,,,,,,
17630,AL1582,GA5317,18BBWeek3,,,,,,
18012,AL1076,AL2466,18BBWeek3,,,,,,
13925,GA25424,GA4315,18BBWeek3,,,,,,
5205,GA5152,GA5106,18BBWeek3,,,,,,
18145,AL1076,AL2358,18BBWeek3,,,,,,
18144,AL1076,AL2466,18BBWeek3,,,,,,
18213,CA71968,CA71968,FBWeek3,,,,,,
16649,OH1331,OH1332,18BBWeek3,,,,,,
19785,VA24930,VA24952,18BBWeek3,,,,,,
19953,CA22898,CA22898,18BBWeek3,,,,,,
19941,TSSAA,TSSAA,18BOWLWeek3,,,,,,
19951,IHSA,IHSA,18DANCEWeek3,,,,,,
18013,AL1076,AL2358,18BBWeek3,,,,,,
19940,TSSAA,TSSAA,18BOWLWeek3,,,,,,
19939,TSSAA,TSSAA,18BOWLWeek3,,,,,,
14686,GA15373,GA67490,18BBWeek3,,,,,,
18105,GA15373,GA67490,18BBWeek3,,,,,,
19078,IN1532,IN1532,18SWIMWeek3,,,,,,
19687,HI17559,HI17559,18WRESWeek3,,,,,,
13508,AL2466,AL2404,18BBWeek3,,,,,,
14870,FL17050,FL17051,18BBWeek4,,,,,,
19426,CA18893,CA18735,18BBWeek3,,,,,,
19595,CA18813,CA18849,18BBWeek3,,,,,,
9164,WI19472,WI13614,18WRESWeek3,,,,,,
14718,MI4085,MI4085,18CHEERWeek3,,,,,,
17998,MI4085,MI4085,18CHEERWeek3,,,,,,
17902,AZ11997,AZ12778,18BBWeek3,,,,,,
13291,CA19060,CA19019,18BBWeek3,,,,,,
