event,campaign,home,away
16830,FB17-PlayoffWeek1,MPSSAA-Maryland,no-opponent-given
17255,FB17-PlayoffWeek2,Thompson-High-School,Huntsville-High-School
14003,FB17-PlayoffWeek3,VPA-Vermont,no-opponent-given
16335,FB17-PlayoffWeek4,NG-Touchdown-Club,no-opponent-given
17513,FB17-PlayoffWeek5,Mater-Dei-High-School,Vista-Murrieta-High-School
13966,FB17-PlayoffWeek6,NYSPHSAA-Section-VIII,no-opponent-given
15608,FB17-PlayoffWeek7,Trinity-Christian-Academy,The-Bolles-School
4638,FB17-PlayoffWeek8,Menlo-Atherton-High-School,Aragon-High-School
17358,FB17-PlayoffWeek9,Mill-Creek-High-School,West-Forsyth-High-School
13968,FB17-PlayoffWeek10,NYSPHSAA-Section-VIII,no-opponent-given
17401,FB17-PlayoffWeek11,Sherando-High-School,Dominion-High-School
17258,FB17-PlayoffWeek12,Benjamin-Russell-High-School,Saraland-High-School
15641,FB17-PlayoffWeek13,St.-Augustine-High-School,Tate-High-School
13965,FB17-PlayoffWeek14,NYSPHSAA-Section-VIII,no-opponent-given
17356,FB17-PlayoffWeek15,Tift-County-High-School,Newnan-High-School
15914,FB17-PlayoffWeek16,Patterson-High-School,East-Union-High-School
15929,FB17-PlayoffWeek17,Orangevale-Casa-Roble-High-School,Union-Mine-High-School
15902,FB17-PlayoffWeek18,Del-Oro-High-School,Lincoln-High-School
15078,FB17-PlayoffWeek19,Bishop-O'Dowd-High-School,Terra-Linda-High-School
8235,FB17-PlayoffWeek20,Saint-Francis-High-School,Junipero-Serra-High-School
12775,FB17-PlayoffWeek21,VPA-Vermont,no-opponent-given
15881,FB17-PlayoffWeek22,Folsom-High-School,River-City-High-School
13967,FB17-PlayoffWeek23,NYSPHSAA-Section-VIII,no-opponent-given
17362,FB17-PlayoffWeek24,Walton-High-School,North-Cobb-High-School
17366,FB17-PlayoffWeek25,North-Gwinnett-High-School,North-Forsyth-High-School
17289,FB17-PlayoffWeek26,Briarwood-Christian-School,Crossville-High-School
17250,FB17-PlayoffWeek27,Auburn-High-School,Davidson-High-School
17247,FB17-PlayoffWeek28,T.-L.-Hanna-High-School,Greenwood-High-School
