event,home,away,campaign
7736,AHSAA,AHSAA,FootballWeek17
7737,AHSAA,AHSAA,FootballWeek17
7738,AHSAA,AHSAA,FootballWeek17
18008,AL1076,AL1048,FootballWeek17
13504,AL2466,AL1199,FootballWeek17
13505,AL2466,AL1761,FootballWeek17
17619,AL1582,AL863,FootballWeek17
17899,AZ11997,AZ11958,FootballWeek17
17898,AZ11997,AZ11968,FootballWeek17
18173,AZ12783,AZ12765,FootballWeek17
18174,AZ12783,AZ12781,FootballWeek17
18155,AZ12783,AZ21884,FootballWeek17
12943,CA22613,CA16947,FootballWeek17
13287,CA19060,CA18728,FootballWeek17
16090,CA68658,CA18885,FootballWeek17
16082,CA68658,CA19029,FootballWeek17
17527,CA68755,CA22570,FootballWeek17
12984,CA22613,CA22607,FootballWeek17
17487,CA68755,CA22618,FootballWeek17
13286,CA19060,CA22804,FootballWeek17
16087,CA22949,CA22844,FootballWeek17
5734,CA23094,CA22845,FootballWeek17
13098,CA22881,CA22847,FootballWeek17
18538,CA23095,CA22852,FootballWeek17
16173,CA22914,CA22867,FootballWeek17
17962,CA23022,CA22873,FootballWeek17
18527,CA23095,CA22876,FootballWeek17
12584,CA23013,CA22879,FootballWeek17
5725,CA23094,CA22960,FootballWeek17
18528,CA23095,CA23004,FootballWeek17
17131,CA19938,CA23006,FootballWeek17
16339,CA22914,CA23046,FootballWeek17
16338,CA22914,CA23051,FootballWeek17
19137,CA22951,CA23069,FootballWeek17
16172,CA22914,CA23076,FootballWeek17
17558,CA68755,CA25548,FootballWeek17
17525,CA68755,CA68038,FootballWeek17
17506,CA68755,CA8035,FootballWeek17
15434,CA7959,CA8070,FootballWeek17
18509,CA23095,CA9048,FootballWeek17
19098,CO67973,CO11707,FootballWeek17
19100,CO67973,CO16294,FootballWeek17
19101,CO67973,CO68956,FootballWeek17
19274,DE22632,DE22636,FootballWeek17
19258,DE22632,DE22639,FootballWeek17
19289,FL71936,FL11635,FootballWeek17
19287,FL71936,FL11636,FootballWeek17
12890,FL71936,FL11638,FootballWeek17
12893,FL71936,FL11638,FootballWeek17
14220,FL13096,FL13091,FootballWeek17
14976,FL13098,FL13093,FootballWeek17
17458,FL19831,FL13104,FootballWeek17
18003,FL777,FL1400,FootballWeek17
18002,FL777,FL1400,FootballWeek17
14221,FL13096,FL16970,FootballWeek17
13432,FL17054,FL17050,FootballWeek17
17843,FL17050,FL17051,FootballWeek17
14947,FL17050,FL17054,FootballWeek17
18001,FL777,FL17920,FootballWeek17
17876,FL17955,FL17924,FootballWeek17
12686,FL17955,FL17925,FootballWeek17
12710,FL17955,FL17943,FootballWeek17
18753,FL335,FL17950,FootballWeek17
18758,FL335,FL17950,FootballWeek17
12705,FL17955,FL17951,FootballWeek17
12698,FL17955,FL17951,FootballWeek17
17875,FL17955,FL17954,FootballWeek17
16141,FL19831,FL19833,FootballWeek17
17459,FL19831,FL19833,FootballWeek17
19290,FL19831,FL19834,FootballWeek17
16701,FL19831,FL19837,FootballWeek17
16146,FL19831,FL19837,FootballWeek17
12902,FL71936,FL21402,FootballWeek17
16700,FL19831,FL27326,FootballWeek17
14379,FL6069,FL5782,FootballWeek17
14504,FL6069,FL5786,FootballWeek17
14366,FL6069,FL5818,FootballWeek17
17844,FL17050,FL5829,FootballWeek17
15839,FL25551,FL6012,FootballWeek17
18069,FL68236,FL6026,FootballWeek17
14516,FL6069,FL6045,FootballWeek17
14503,FL6069,FL6045,FootballWeek17
18068,FL68236,FL6069,FootballWeek17
15033,FL13098,FL6092,FootballWeek17
15005,FL13098,FL67374,FootballWeek17
14978,FL13098,FL67374,FootballWeek17
15006,FL13098,FL68243,FootballWeek17
15837,FL25551,FL68244,FootballWeek17
14986,FL13098,FL69050,FootballWeek17
13841,FL68020,FL69059,FootballWeek17
18754,FL335,FL69062,FootballWeek17
18759,FL335,FL69062,FootballWeek17
13811,FL68020,FL69063,FootballWeek17
13842,FL68020,FL69105,FootballWeek17
14518,FL6069,FL69129,FootballWeek17
18445,GA11899,GA11900,FootballWeek17
17770,GA55045,GA13606,FootballWeek17
16230,GA5217,GA13648,FootballWeek17
18446,GA11899,GA23129,FootballWeek17
16223,GA5217,GA25508,FootballWeek17
14573,GA5099,GA4581,FootballWeek17
14652,GA4137,GA4841,FootballWeek17
14680,GA15373,GA4853,FootballWeek17
18100,GA15373,GA4853,FootballWeek17
14321,GA4841,GA4859,FootballWeek17
5201,GA5152,GA4859,FootballWeek17
14940,GA5227,GA4874,FootballWeek17
13951,GA67936,GA4894,FootballWeek17
